Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2010;2010/11;01.517.236/0001-62;3H TERCEIRIZACAO E SERVICOS LTDA;RUA ARACUAI,378;12233-380;BOSQUE EUCALIPTOS;São José dos Campos;São Paulo
2011;2011/12;01.517.236/0001-62;3H TERCEIRIZACAO E SERVICOS LTDA;RUA ARACUAI,378;12233-380;BOSQUE EUCALIPTOS;São José dos Campos;São Paulo
2009;2009/03;05.043.075/0001-73;3J EMPREENDIMENTOS E NEGOCIOS LTDA.-EPP;AVENIDA JAMARIS,100;04078-000;MOEMA;São Paulo;São Paulo
2008;2008/09;04.209.241/0001-04;3K COMERCIO E INSTALACOES LTDA EPP;RUA DAS DALIAS,26;13050-040;JARDIM DO LAGO;Campinas;São Paulo
2008;2008/08;04.209.241/0001-04;3K COMERCIO E INSTALACOES LTDA EPP;RUA DAS DALIAS,26;13050-040;JARDIM DO LAGO;Campinas;São Paulo
2011;2011/03;04.339.318/0001-52;3K INDUSTRIA E COMERCIO DE ARTEFATOS DE ALUMINIO;RUA JOÃO DE PAULA FRANCO 130127;04755-050;JARDIM MARABA;São Paulo;São Paulo
2009;2009/07;45.985.371/0001-08;3M DO BRASIL LTDA;FEICON 2009;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2012;2012/05;45.985.371/0063-00;3M DO BRASIL LTDA;R AMF DO BRASIL,251;18120-000;INDUSTRIAL;Mairinque;São Paulo
2009;2009/08;45.985.371/0062-20;3M DO BRASIL LTDA;ROD RAPOSO TAVARES, KM 171;18203-340;Sem Informação;Itapetininga;São Paulo
2011;2011/12;45.985.371/0062-20;3M DO BRASIL LTDA;RODOVIA RAPOSO TAVARES KM 171;18203-340;DO PORTO;Itapetininga;São Paulo
2009;2009/10;45.985.371/0001-08;3M DO BRASIL LTDA;VIA ANHANGUERA KM 110;13181-900;NOVA VENEZA;Sumaré;São Paulo
2010;2010/03;45.985.371/0001-08;3M DO BRASIL LTDA;VIA ANHANGUERA KM 110;13181-900;NOVA VENEZA;Sumaré;São Paulo
2008;2008/10;45.985.371/0001-08;3M DO BRASIL LTDA;VIA ANHANGUERA KM 110;13181-900;NOVA VENEZA;Sumaré;São Paulo
2012;2012/04;45.985.371/0001-08;3M DO BRASIL LTDA;VIA ANHANGUERA KM 110;13181-900;NOVA VENEZA;Sumaré;São Paulo
2012;2012/01;45.985.371/0001-08;3M DO BRASIL LTDA;VIA ANHANGUERA KM 110;13181-900;NOVA VENEZA;Sumaré;São Paulo
2011;2011/03;09.127.353/0001-21;3MAM TRANSP. DISTR. DE JORNAIS E REV REPR. COML. LTDA.;RUA ANDRE LEAO, 283;03101-010;MOOCA;São Paulo;São Paulo
2011;2011/10;59.904.656/0001-81;3N COMERCIO E REPRESENTAÇÃO LTDA;AVENIDA PIRAPORINHA, 1320;09950-000;PIRAPORINHA;Diadema;São Paulo
2012;2012/04;59.904.656/0001-81;3N COMERCIO E REPRESENTAÇÃO LTDA;AVENIDA PIRAPORINHA, 1320;09950-000;Sem Informação;Diadema;São Paulo
2012;2012/04;59.904.656/0001-81;3N COMERCIO E REPRESENTAÇÃO LTDA;AVENIDA PIRAPORINHA, 1320;09950-000;Sem Informação;Diadema;São Paulo
2010;2010/06;59.904.656/0001-81;3N COMERCIO E REPRESENTACOES LTDA;RUA ALTINO ARANTES, 701;04042-003;VILA CLEMENTINO;São Paulo;São Paulo
2009;2009/11;59.904.656/0001-81;3N COMERCIO E REPRESENTACOES LTDA;RUA MARANHAO 1279;09541-001;SANTA PAULA;São Caetano do Sul;São Paulo
2008;2008/09;59.904.656/0001-81;3N COMERCIO E REPRESENTAçõES LTDA.;AV. PIRAPORINHA, 1320;09950-000;VL NOGUEIRA;Diadema;São Paulo
