Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2011;2011/07;82.094.897/0001-24;A BODEGUITA PIZZARIA E RESTAURANTE LTDA ME;RUA INDEPENDENCIA, N.,319;89700-000;CENTRO;Concórdia;Santa Catarina;;
2009;2009/05;02.986.101/0001-09;A C A MOVEIS LTDA ME;RUA INDEPENDENCIA,974;89887-000;SANTA TEREZINHA;Palmitos;Santa Catarina;;
2012;2012/02;75.434.803/0001-53;A C E R E S ASSOC CULT ESP V SAMBA;RUA ANTONIO NUNES VARELA;89600-000;VILA PEDRINI;Joaçaba;Santa Catarina;;
2010;2010/11;03.839.601/0003-42;A C ROSSO CIA LTDA ME;BR 101 KM 435 Nº 2007, LOJA 58;88960-000;VILA JANUARIA;Sombrio;Santa Catarina;;
2009;2009/06;00.141.954/0001-14;A CASA DO LACO LTDA ME;RUA CRISTIANO BRASCHER,1833;88504-301;SANTA HELENA;Lages;Santa Catarina;;
2008;2008/09;83.459.909/0001-30;A COLOMBO COM MAT DE CONSTRUCAO LTDA;AV DOS IMIGRANTES, 1160;88817-600;RIO MAINA;Criciúma;Santa Catarina;;
2012;2012/05;83.459.909/0001-30;A COLOMBO COM.MAT.DE CONSTRUCAO LTDA-EPP;AV DOS IMIGRANTES,1160;88817-600;RIO MAINA;Criciúma;Santa Catarina;;
2011;2011/12;84.941.319/0001-01;A CUTIA LOTERIAS LTDA;MARECHAL DEODORO,67;88501-000;CENTRO;Lages;Santa Catarina;;
2008;2008/12;84.941.319/0001-01;A CUTIA LOTERIAS LTDA;RUA MARECHAL DEODORO,67;88501-000;CENTRO;Lages;Santa Catarina;;
2010;2010/05;07.454.529/0001-24;A D CONFECCOES LTDA ME;RUA GERMANO FAHRENHEIT,326;89057-500;FORTALEZA;Blumenau;Santa Catarina;;
2008;2008/12;06.022.317/0001-05;A D MOVEIS PARA ESCRITORIO LTDA;ROD SC 438, KM 216;88708-701;SAO MARTINHO;Tubarão;Santa Catarina;;
